CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,BORO_CD
"110599775","12/31/2015","22:10:00","12/31/2015","22:15:00","01/01/2016","118","DANGEROUS WEAPONS","793","WEAPONS POSSESSION 3","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX","41","","STREET","","","1014192","235749","40.8137098","-73.891832521","(40.8137098, -73.891832521)",202
"256123987","12/31/2015","22:00:00","","","01/01/2016","106","FELONY ASSAULT","109","ASSAULT 2,1,UNCLASSIFIED","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX","47","INSIDE","RESIDENCE - APT. HOUSE","","","1026235","269439","40.906129566","-73.84811484","(40.906129566, -73.84811484)",212
"632744868","12/31/2015","22:00:00","12/31/2015","22:20:00","01/01/2016","359","OFFENSES AGAINST PUBLIC ADMINI","750","RESISTING ARREST","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN","14","FRONT OF","STREET","","","986821","215621","40.758514171","-73.990721114","(40.758514171, -73.990721114)",104
"216252130","12/31/2015","22:00:00","12/31/2015","23:26:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","101","INSIDE","RESIDENCE - APT. HOUSE","","","1052284","161199","40.608877416","-73.754974621","(40.608877416, -73.754974621)",414
"991158037","12/31/2015","22:00:00","12/31/2015","22:20:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN","14","FRONT OF","STREET","","","986821","215621","40.758514171","-73.990721114","(40.758514171, -73.990721114)",104
"916185219","12/31/2015","22:00:00","12/31/2015","22:20:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN","14","FRONT OF","STREET","","","986821","215621","40.758514171","-73.990721114","(40.758514171, -73.990721114)",104
"705589267","12/31/2015","22:00:00","01/01/2016","04:00:00","01/01/2016","107","BURGLARY","223","BURGLARY,RESIDENCE,NIGHT","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS","115","INSIDE","RESIDENCE-HOUSE","","","1020414","213600","40.752893464","-73.869474086","(40.752893464, -73.869474086)",403
"138236270","12/31/2015","22:00:00","01/01/2016","00:50:00","01/01/2016","107","BURGLARY","223","BURGLARY,RESIDENCE,NIGHT","COMPLETED","FELONY","N.Y. POLICE DEPT","STATEN ISLAND","122","INSIDE","RESIDENCE - APT. HOUSE","","","953460","144568","40.563436327","-74.110817151","(40.563436327, -74.110817151)",503
"617043896","12/31/2015","22:00:00","12/31/2015","22:10:00","01/01/2016","109","GRAND LARCENY","410","LARCENY,GRAND FROM RETAIL STORE, UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN","7","INSIDE","CHAIN STORE","","","988050","200071","40.715832817","-73.986293671","(40.715832817, -73.986293671)",103
"570469504","12/31/2015","22:00:00","12/31/2015","22:30:00","01/01/2016","361","OFF. AGNST PUB ORD SENSBLTY &","639","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN","23","FRONT OF","RESIDENCE - APT. HOUSE","","","1001294","228548","40.793979332","-73.938446293","(40.793979332, -73.938446293)",111
"157177576","12/31/2015","22:00:00","12/31/2015","22:30:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","113","MENACING,UNCLASSIFIED","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN","23","FRONT OF","STREET","","","1001294","228548","40.793979332","-73.938446293","(40.793979332, -73.938446293)",111
"140817321","12/31/2015","22:00:00","01/01/2016","13:50:00","01/01/2016","341","PETIT LARCENY","321","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","BRONX","48","FRONT OF","OTHER","","","1014533","246923","40.844378053","-73.890550184","(40.844378053, -73.890550184)",206
"721249189","12/31/2015","22:00:00","","","01/01/2016","341","PETIT LARCENY","339","LARCENY,PETIT FROM OPEN AREAS,","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN","14","","STREET","","","988018","214637","40.755812912","-73.986400949","(40.755812912, -73.986400949)",105
"540264059","12/31/2015","22:00:00","01/02/2016","15:00:00","01/01/2016","361","OFF. AGNST PUB ORD SENSBLTY &","639","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","BRONX","45","INSIDE","RESIDENCE - APT. HOUSE","","","1042243","251013","40.855465358","-73.790363373","(40.855465358, -73.790363373)",210
"840643006","12/31/2015","22:00:00","01/01/2016","03:15:00","01/01/2016","351","CRIMINAL MISCHIEF & RELATED OF","254","MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","BROOKLYN","60","FRONT OF","STREET","","","992357","152829","40.58616091","-73.970813766","(40.58616091, -73.970813766)",313
"296222788","12/31/2015","22:00:00","12/31/2015","22:30:00","01/01/2016","341","PETIT LARCENY","339","LARCENY,PETIT FROM OPEN AREAS,","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","BROOKLYN","60","","OTHER","","","990784","149362","40.576645978","-73.976480396","(40.576645978, -73.976480396)",313
"950175777","12/31/2015","22:00:00","01/01/2016","02:30:00","01/01/2016","109","GRAND LARCENY","408","LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN","14","INSIDE","PUBLIC BUILDING","","","985802","213781","40.753464076","-73.994399743","(40.753464076, -73.994399743)",104
"103722960","12/31/2015","21:40:00","12/31/2015","22:00:00","01/01/2016","341","PETIT LARCENY","333","LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","STATEN ISLAND","120","INSIDE","CHAIN STORE","","","955132","163656","40.61583469","-74.104881749","(40.61583469, -74.104881749)",501
"465554979","12/31/2015","21:30:00","12/31/2015","23:00:00","01/01/2016","109","GRAND LARCENY","439","LARCENY,GRAND FROM OPEN AREAS, UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN","72","INSIDE","RESIDENCE - APT. HOUSE","","","981891","175567","40.648575405","-74.008502507","(40.648575405, -74.008502507)",307
"404749286","12/31/2015","21:30:00","01/01/2016","05:30:00","01/01/2016","351","CRIMINAL MISCHIEF & RELATED OF","254","MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN","25","FRONT OF","STREET","","","1000344","230603","40.79962153","-73.941872335","(40.79962153, -73.941872335)",111
"830924800","12/31/2015","21:30:00","01/01/2016","13:30:00","01/01/2016","107","BURGLARY","243","BURGLARY,UNCLASSIFIED,NIGHT","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS","106","REAR OF","PARKING LOT/GARAGE (PRIVATE)","","","1036643","184868","40.673949883","-73.811122224","(40.673949883, -73.811122224)",410
"939188912","12/31/2015","21:30:00","12/31/2015","22:00:00","01/01/2016","341","PETIT LARCENY","338","LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN","14","INSIDE","RESTAURANT/DINER","","","987294","213690","40.753213917","-73.989014637","(40.753213917, -73.989014637)",105
"559019455","12/31/2015","21:30:00","01/01/2016","20:00:00","01/01/2016","341","PETIT LARCENY","339","LARCENY,PETIT FROM OPEN AREAS,","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","114","INSIDE","FAST FOOD","","","1009462","216571","40.761086107","-73.908992157","(40.761086107, -73.908992157)",401
"123444270","12/31/2015","21:20:00","12/31/2015","21:48:00","01/01/2016","121","CRIMINAL MISCHIEF & RELATED OF","269","MISCHIEF,CRIMINAL,    UNCL 2ND","COMPLETED","FELONY","N.Y. POLICE DEPT","STATEN ISLAND","122","INSIDE","RESIDENCE - APT. HOUSE","","","966354","157409","40.598717729","-74.064444621","(40.598717729, -74.064444621)",502
"881185385","12/31/2015","21:00:00","12/31/2015","21:05:00","01/01/2016","340","FRAUDS","707","IMPERSONATION 2, PUBLIC SERVAN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","BROOKLYN","75","","STREET","","","1021333","188209","40.683197532","-73.866297005","(40.683197532, -73.866297005)",409
"982911609","12/31/2015","21:00:00","12/31/2015","22:00:00","01/01/2016","105","ROBBERY","397","ROBBERY,OPEN AREA UNCLASSIFIED","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN","81","","STREET","","","1005983","186617","40.678878851","-73.92164722","(40.678878851, -73.92164722)",303
"289980485","12/31/2015","21:00:00","01/01/2016","04:35:00","01/01/2016","107","BURGLARY","213","BURGLARY,COMMERCIAL,NIGHT","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS","105","INSIDE","OTHER","","","1061094","203492","40.724889695","-73.722763228","(40.724889695, -73.722763228)",413
"571813021","12/31/2015","21:00:00","01/01/2016","01:00:00","01/01/2016","351","CRIMINAL MISCHIEF & RELATED OF","259","CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","STATEN ISLAND","122","INSIDE","RESIDENCE-HOUSE","","","948512","148752","40.57490202","-74.128647497","(40.57490202, -74.128647497)",502
"932370756","12/31/2015","21:00:00","12/31/2015","21:10:00","01/01/2016","341","PETIT LARCENY","343","LARCENY,PETIT OF BICYCLE","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","BROOKLYN","70","FRONT OF","STREET","","","991676","168807","40.63001785","-73.973248007","(40.63001785, -73.973248007)",314
"953152761","12/31/2015","21:00:00","12/31/2015","22:00:00","01/01/2016","233","SEX CRIMES","175","SEXUAL ABUSE 3,2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","MANHATTAN","18","FRONT OF","BAR/NIGHT CLUB","","","","","","","","none"
"272452303","12/31/2015","19:00:00","12/31/2015","22:00:00","01/01/2016","107","BURGLARY","223","BURGLARY,RESIDENCE,NIGHT","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS","104","INSIDE","RESIDENCE-HOUSE","","","1019524","203020","40.723857606","-73.872741848","(40.723857606, -73.872741848)",405
"100702668","12/31/2015","21:00:00","01/01/2016","01:00:00","01/01/2016","351","CRIMINAL MISCHIEF & RELATED OF","254","MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","109","FRONT OF","STREET","","","1033627","215066","40.756853343","-73.821773519","(40.756853343, -73.821773519)",407
